id,entity,amount,currency,status,order_id,invoice_id,description,method,international,refund_status,amount_refunded,captured,email,contact,fee,tax,created_at,card_id,card_network,card_type,bank,contract_fee_rate,applied_fee_rate,base_fee,anomaly_type
pay_EH24011300025,payment,436000,INR,captured,order_EH24011300025,inv_EH24011300025,Online electronics order,upi,false,null,0,true,customer25@example.com,+919000000024,7848,0,1705155840,,,,,0.018,0.018,78.48,
pay_EH24011400026,payment,863000,INR,captured,order_EH24011400026,inv_EH24011400026,Online electronics order,card,false,null,0,true,customer26@example.com,+919000000025,15534,0,1705245900,card_4491636bda8e,Visa,debit,,0.018,0.018,155.34,
pay_EH24011600027,payment,503000,INR,captured,order_EH24011600027,inv_EH24011600027,Online electronics order,card,false,null,0,true,customer27@example.com,+919000000026,9054,0,1705422360,card_cd8ed73442d4,MasterCard,credit,,0.018,0.018,90.54,
pay_EH24011200028,payment,1223000,INR,captured,order_EH24011200028,inv_EH24011200028,Online electronics order,card,false,null,0,true,customer28@example.com,+919000000027,22014,0,1705080420,card_a37b60bf7fb6,RuPay,credit,,0.018,0.018,220.14,
pay_EH24011300029,payment,286000,INR,captured,order_EH24011300029,inv_EH24011300029,Online electronics order,upi,false,null,0,true,customer29@example.com,+919000000028,5148,0,1705170480,,,,,0.018,0.018,51.48,
pay_EH24012600030,payment,234000,INR,captured,order_EH24012600030,inv_EH24012600030,Online electronics order,upi,false,null,0,true,customer30@example.com,+919000000029,4212,0,1706297340,,,,,0.018,0.018,42.12,
pay_EH24011200031,payment,970000,INR,captured,order_EH24011200031,inv_EH24011200031,Online electronics order,card,false,null,0,true,customer31@example.com,+919000000030,17460,0,1705055400,card_65a1ef49597f,Visa,credit,,0.018,0.018,174.6,
pay_EH24010800032,payment,6653000,INR,captured,order_EH24010800032,inv_EH24010800032,Online electronics order,card,false,null,0,true,customer32@example.com,+919000000031,119754,0,1704713460,card_4ac37399ed86,American Express,debit,,0.018,0.018,1197.54,
pay_EH24010300033,payment,550000,INR,captured,order_EH24010300033,inv_EH24010300033,Online electronics order,upi,false,null,0,true,customer33@example.com,+919000000032,9900,0,1704285120,,,,,0.018,0.018,99.0,
pay_EH24013100034,payment,640000,INR,captured,order_EH24013100034,inv_EH24013100034,Online electronics order,card,false,null,0,true,customer34@example.com,+919000000033,11520,0,1706707980,card_0ddd75bb4e74,MasterCard,debit,,0.018,0.018,115.2,
pay_EH24012100035,payment,180000,INR,captured,order_EH24012100035,inv_EH24012100035,Online electronics order,card,false,null,0,true,customer35@example.com,+919000000034,3240,0,1705847640,card_22ddbca57df3,Visa,debit,,0.018,0.018,32.4,
pay_EH24013000036,payment,333000,INR,captured,order_EH24013000036,inv_EH24013000036,Online electronics order,upi,false,null,0,true,customer36@example.com,+919000000035,5994,0,1706628900,,,,,0.018,0.018,59.94,
pay_EH24010600037,payment,577000,INR,captured,order_EH24010600037,inv_EH24010600037,Online electronics order,card,false,null,0,true,customer37@example.com,+919000000036,10386,0,1704558960,card_de82e2a7ce2a,RuPay,credit,,0.018,0.018,103.86,
pay_EH24012200038,payment,803000,INR,captured,order_EH24012200038,inv_EH24012200038,Online electronics order,netbanking,false,null,0,true,customer38@example.com,+919000000037,14454,0,1705945020,,,,,0.018,0.018,144.54,
pay_EH24012100039,payment,852000,INR,captured,order_EH24012100039,inv_EH24012100039,Online electronics order,upi,false,null,0,true,customer39@example.com,+919000000038,15336,0,1705862280,,,,,0.018,0.018,153.36,
pay_EH24011100040,payment,1223000,INR,captured,order_EH24011100040,inv_EH24011100040,Online electronics order,netbanking,false,null,0,true,customer40@example.com,+919000000039,22014,0,1705001940,,,,,0.018,0.018,220.14,
pay_EH24012000041,payment,874000,INR,captured,order_EH24012000041,inv_EH24012000041,Online electronics order,card,false,null,0,true,customer41@example.com,+919000000040,15732,0,1705747200,card_2b9bbfb669c8,American Express,credit,,0.018,0.018,157.32,
pay_EH24012900042,payment,2418000,INR,captured,order_EH24012900042,inv_EH24012900042,Online electronics order,upi,false,null,0,true,customer42@example.com,+919000000041,43524,0,1706528460,,,,,0.018,0.018,435.24,
pay_EH24011000043,payment,216000,INR,captured,order_EH24011000043,inv_EH24011000043,Online electronics order,upi,false,null,0,true,customer43@example.com,+919000000042,3888,0,1704890520,,,,,0.018,0.018,38.88,
pay_EH24011100044,payment,6280000,INR,captured,order_EH24011100044,inv_EH24011100044,Online electronics order,card,false,null,0,true,customer44@example.com,+919000000043,113040,0,1704980580,card_7f14640106f6,Visa,credit,,0.018,0.018,1130.4,
pay_EH24012500045,payment,382000,INR,captured,order_EH24012500045,inv_EH24012500045,Online electronics order,upi,false,null,0,true,customer45@example.com,+919000000044,6876,0,1706193840,,,,,0.018,0.018,68.76,
pay_EH24011600046,payment,485000,INR,captured,order_EH24011600046,inv_EH24011600046,Online electronics order,netbanking,false,null,0,true,customer46@example.com,+919000000045,8730,0,1705419900,,,,,0.018,0.018,87.3,
pay_EH24010900047,payment,542000,INR,captured,order_EH24010900047,inv_EH24010900047,Online electronics order,upi,false,null,0,true,customer47@example.com,+919000000046,9756,0,1704818760,,,,,0.018,0.018,97.56,
pay_EH24010500048,payment,451000,INR,captured,order_EH24010500048,inv_EH24010500048,Online electronics order,upi,false,null,0,true,customer48@example.com,+919000000047,8118,0,1704476820,,,,,0.018,0.018,81.18,
pay_EH24011000049,payment,320000,INR,captured,order_EH24011000049,inv_EH24011000049,Online electronics order,upi,false,null,0,true,customer49@example.com,+919000000048,5760,0,1704912480,,,,,0.018,0.018,57.6,
pay_EH24010400050,payment,186000,INR,captured,order_EH24010400050,inv_EH24010400050,Online electronics order,card,false,null,0,true,customer50@example.com,+919000000049,3347,0,1704397740,card_ad8049b03a70,RuPay,debit,,0.018,0.018,33.48,
pay_EH24012100051,payment,77000,INR,captured,order_EH24012100051,inv_EH24012100051,Online electronics order,upi,false,null,0,true,customer51@example.com,+919000000050,1386,0,1705834200,,,,,0.018,0.018,13.86,
pay_EH24011900052,payment,237000,INR,captured,order_EH24011900052,inv_EH24011900052,Online electronics order,emi,false,null,0,true,customer52@example.com,+919000000051,4266,0,1705665060,,,,,0.018,0.018,42.66,
pay_EH24010200053,payment,599000,INR,captured,order_EH24010200053,inv_EH24010200053,Online electronics order,upi,false,null,0,true,customer53@example.com,+919000000052,10782,0,1704199920,,,,,0.018,0.018,107.82,
pay_EH24013100054,payment,169000,INR,captured,order_EH24013100054,inv_EH24013100054,Online electronics order,upi,false,null,0,true,customer54@example.com,+919000000053,3042,0,1706709180,,,,,0.018,0.018,30.42,
pay_EH24010200055,payment,1137000,INR,captured,order_EH24010200055,inv_EH24010200055,Online electronics order,card,false,null,0,true,customer55@example.com,+919000000054,20466,0,1704207240,card_90cea5f9a0c9,MasterCard,credit,,0.018,0.018,204.66,
pay_EH24010600056,payment,380000,INR,captured,order_EH24010600056,inv_EH24010600056,Online electronics order,netbanking,false,null,0,true,customer56@example.com,+919000000055,6840,0,1704556500,,,,,0.018,0.018,68.4,
pay_EH24012300057,payment,191000,INR,captured,order_EH24012300057,inv_EH24012300057,Online electronics order,card,false,null,0,true,customer57@example.com,+919000000056,3438,0,1706028960,card_776456471fe1,MasterCard,debit,,0.018,0.018,34.38,
pay_EH24010300058,payment,543000,INR,captured,order_EH24010300058,inv_EH24010300058,Online electronics order,card,false,null,0,true,customer58@example.com,+919000000057,9774,0,1704304620,card_6ef1faef0e6a,RuPay,credit,,0.018,0.018,97.74,
pay_EH24011600059,payment,549000,INR,captured,order_EH24011600059,inv_EH24011600059,Online electronics order,upi,false,null,0,true,customer59@example.com,+919000000058,9882,0,1705431480,,,,,0.018,0.018,98.82,
pay_EH24013000060,payment,255000,INR,captured,order_EH24013000060,inv_EH24013000060,Online electronics order,card,false,null,0,true,customer60@example.com,+919000000059,4590,0,1706644740,card_080eee51a9b2,MasterCard,debit,,0.018,0.018,45.9,
pay_EH24010100061,payment,896000,INR,captured,order_EH24010100061,inv_EH24010100061,Online electronics order,upi,false,null,0,true,customer61@example.com,+919000000060,16128,0,1704103200,,,,,0.018,0.018,161.28,
pay_EH24010700062,payment,353000,INR,captured,order_EH24010700062,inv_EH24010700062,Online electronics order,wallet,false,null,0,true,customer62@example.com,+919000000061,6354,0,1704625260,,,,,0.018,0.018,63.54,
pay_EH24011500063,payment,647000,INR,captured,order_EH24011500063,inv_EH24011500063,Online electronics order,card,false,null,0,true,customer63@example.com,+919000000062,11646,0,1705320120,card_1b78f5ada1d3,MasterCard,credit,,0.018,0.018,116.46,
pay_EH24012300064,payment,852000,INR,captured,order_EH24012300064,inv_EH24012300064,Online electronics order,upi,false,null,0,true,customer64@example.com,+919000000063,15336,0,1706014980,,,,,0.018,0.018,153.36,
pay_EH24011300065,payment,352000,INR,captured,order_EH24011300065,inv_EH24011300065,Online electronics order,upi,false,null,0,true,customer65@example.com,+919000000064,6336,0,1705154640,,,,,0.018,0.018,63.36,
pay_EH24010800066,payment,251000,INR,captured,order_EH24010800066,inv_EH24010800066,Online electronics order,card,false,null,0,true,customer66@example.com,+919000000065,4518,0,1704726300,card_607df87bef51,RuPay,debit,,0.018,0.018,45.18,
pay_EH24010200067,payment,913000,INR,captured,order_EH24010200067,inv_EH24010200067,Online electronics order,wallet,false,null,0,true,customer67@example.com,+919000000066,16434,0,1704211560,,,,,0.018,0.018,164.34,
pay_EH24011100068,payment,1712000,INR,captured,order_EH24011100068,inv_EH24011100068,Online electronics order,upi,false,null,0,true,customer68@example.com,+919000000067,30816,0,1704992820,,,,,0.018,0.018,308.16,
pay_EH24010300069,payment,174000,INR,captured,order_EH24010300069,inv_EH24010300069,Online electronics order,card,false,partial,76000,true,customer69@example.com,+919000000068,3132,0,1704305280,card_415aa4096d9d,American Express,credit,,0.018,0.018,31.32,
pay_EH24010500070,payment,672000,INR,captured,order_EH24010500070,inv_EH24010500070,Online electronics order,upi,false,null,0,true,customer70@example.com,+919000000069,12096,0,1704481740,,,,,0.018,0.018,120.96,
pay_EH24011300071,payment,1411000,INR,captured,order_EH24011300071,inv_EH24011300071,Online electronics order,upi,false,null,0,true,customer71@example.com,+919000000070,25398,0,1705140600,,,,,0.018,0.018,253.98,
pay_EH24012300072,payment,400000,INR,captured,order_EH24012300072,inv_EH24012300072,Online electronics order,card,false,null,0,true,customer72@example.com,+919000000071,7200,0,1706008260,card_24e5290bd493,American Express,debit,,0.018,0.018,72.0,
pay_EH24011500073,payment,1005000,INR,captured,order_EH24011500073,inv_EH24011500073,Online electronics order,upi,false,null,0,true,customer73@example.com,+919000000072,18090,0,1705320720,,,,,0.018,0.018,180.9,
pay_EH24011900074,payment,1161000,INR,captured,order_EH24011900074,inv_EH24011900074,Online electronics order,card,false,null,0,true,customer74@example.com,+919000000073,20898,0,1705669980,card_3ef975ccf227,American Express,credit,,0.018,0.018,208.98,
pay_EH24010700075,payment,529000,INR,captured,order_EH24010700075,inv_EH24010700075,Online electronics order,card,false,null,0,true,customer75@example.com,+919000000074,9522,0,1704636840,card_14c966376e54,American Express,credit,,0.018,0.018,95.22,
pay_EH24012500076,payment,1063000,INR,captured,order_EH24012500076,inv_EH24012500076,Online electronics order,card,false,null,0,true,customer76@example.com,+919000000075,19134,0,1706195700,card_59cff2f3d0a2,RuPay,debit,,0.018,0.018,191.34,
pay_EH24010800077,payment,177000,INR,captured,order_EH24010800077,inv_EH24010800077,Online electronics order,netbanking,false,null,0,true,customer77@example.com,+919000000076,3186,0,1704730560,,,,,0.018,0.018,31.86,
pay_EH24013100078,payment,575000,INR,captured,order_EH24013100078,inv_EH24013100078,Online electronics order,upi,false,null,0,true,customer78@example.com,+919000000077,10350,0,1706721420,,,,,0.018,0.018,103.5,
pay_EH24013000079,payment,522000,INR,captured,order_EH24013000079,inv_EH24013000079,Online electronics order,upi,false,null,0,true,customer79@example.com,+919000000078,9396,0,1706638680,,,,,0.018,0.018,93.96,
pay_EH24011100080,payment,449000,INR,captured,order_EH24011100080,inv_EH24011100080,Online electronics order,upi,false,null,0,true,customer80@example.com,+919000000079,8081,0,1705000740,,,,,0.018,0.018,80.82,
pay_EH24013100081,payment,5871000,INR,captured,order_EH24013100081,inv_EH24013100081,Online electronics order,card,false,null,0,true,customer81@example.com,+919000000080,105678,0,1706696400,card_288f43f5b103,Visa,debit,,0.018,0.018,1056.78,
pay_EH24011200082,payment,302000,INR,captured,order_EH24011200082,inv_EH24011200082,Online electronics order,card,false,null,0,true,customer82@example.com,+919000000081,5436,0,1705058460,card_2bb773263f42,MasterCard,debit,,0.018,0.018,54.36,
pay_EH24012200083,payment,369000,INR,captured,order_EH24012200083,inv_EH24012200083,Online electronics order,upi,false,null,0,true,customer83@example.com,+919000000082,6642,0,1705926120,,,,,0.018,0.018,66.42,
pay_EH24010700084,payment,530000,INR,captured,order_EH24010700084,inv_EH24010700084,Online electronics order,upi,false,null,0,true,customer84@example.com,+919000000083,9540,0,1704633780,,,,,0.018,0.018,95.4,
pay_EH24012700085,payment,352000,INR,captured,order_EH24012700085,inv_EH24012700085,Online electronics order,upi,false,null,0,true,customer85@example.com,+919000000084,6336,0,1706365440,,,,,0.018,0.018,63.36,
pay_EH24011300086,payment,1257000,INR,captured,order_EH24011300086,inv_EH24011300086,Online electronics order,card,false,null,0,true,customer86@example.com,+919000000085,22626,0,1705159500,card_c6b1c1b8af6d,MasterCard,debit,,0.018,0.018,226.26,
pay_EH24011300087,payment,818000,INR,captured,order_EH24011300087,inv_EH24011300087,Online electronics order,netbanking,false,null,0,true,customer87@example.com,+919000000086,14724,0,1705163160,,,,,0.018,0.018,147.24,
pay_EH24010100088,payment,206000,INR,captured,order_EH24010100088,inv_EH24010100088,Online electronics order,netbanking,false,null,0,true,customer88@example.com,+919000000087,3708,0,1704130020,,,,,0.018,0.018,37.08,
pay_EH24010800089,payment,542000,INR,captured,order_EH24010800089,inv_EH24010800089,Online electronics order,upi,false,null,0,true,customer89@example.com,+919000000088,9756,0,1704738480,,,,,0.018,0.018,97.56,
pay_EH24012900090,payment,918000,INR,captured,order_EH24012900090,inv_EH24012900090,Online electronics order,card,false,null,0,true,customer90@example.com,+919000000089,16524,0,1706556540,card_0e0660223c86,Visa,credit,,0.018,0.018,165.24,
pay_EH24013000091,payment,4026000,INR,captured,order_EH24013000091,inv_EH24013000091,Online electronics order,upi,false,null,0,true,customer91@example.com,+919000000090,72468,0,1706610600,,,,,0.018,0.018,724.68,
pay_EH24012000092,payment,695000,INR,captured,order_EH24012000092,inv_EH24012000092,Online electronics order,card,false,null,0,true,customer92@example.com,+919000000091,12510,0,1705750260,card_2beef40e0a27,RuPay,credit,,0.018,0.018,125.1,
pay_EH24012300093,payment,361000,INR,captured,order_EH24012300093,inv_EH24012300093,Online electronics order,upi,false,null,0,true,customer93@example.com,+919000000092,6498,0,1706013120,,,,,0.018,0.018,64.98,
pay_EH24010700094,payment,810000,INR,captured,order_EH24010700094,inv_EH24010700094,Online electronics order,card,false,null,0,true,customer94@example.com,+919000000093,14580,0,1704634380,card_13d63fc7128c,American Express,debit,,0.018,0.018,145.8,
pay_EH24012100095,payment,807000,INR,captured,order_EH24012100095,inv_EH24012100095,Online electronics order,wallet,false,null,0,true,customer95@example.com,+919000000094,14526,0,1705847640,,,,,0.018,0.018,145.26,
pay_EH24011500096,payment,3873000,INR,captured,order_EH24011500096,inv_EH24011500096,Online electronics order,upi,false,null,0,true,customer96@example.com,+919000000095,69714,0,1705332900,,,,,0.018,0.018,697.14,
pay_EH24011700097,payment,650000,INR,captured,order_EH24011700097,inv_EH24011700097,Online electronics order,card,false,null,0,true,customer97@example.com,+919000000096,11700,0,1705509360,card_fcf94f856d39,American Express,debit,,0.018,0.018,117.0,
pay_EH24011500098,payment,552000,INR,captured,order_EH24011500098,inv_EH24011500098,Online electronics order,upi,false,null,0,true,customer98@example.com,+919000000097,9936,0,1705340220,,,,,0.018,0.018,99.36,
pay_EH24010800099,payment,415000,INR,captured,order_EH24010800099,inv_EH24010800099,Online electronics order,upi,false,null,0,true,customer99@example.com,+919000000098,7470,0,1704739080,,,,,0.018,0.018,74.7,
pay_EH24010500100,payment,157000,INR,captured,order_EH24010500100,inv_EH24010500100,Online electronics order,upi,false,null,0,true,customer100@example.com,+919000000099,2826,0,1704483540,,,,,0.018,0.018,28.26,
pay_EH24012900101,payment,333000,INR,captured,order_EH24012900101,inv_EH24012900101,Online electronics order,card,false,null,0,true,customer101@example.com,+919000000100,5994,0,1706524800,card_95737d80cb87,Visa,credit,,0.018,0.018,59.94,
pay_EH24012700102,payment,337000,INR,captured,order_EH24012700102,inv_EH24012700102,Online electronics order,wallet,false,null,0,true,customer102@example.com,+919000000101,6066,0,1706355660,,,,,0.018,0.018,60.66,
pay_EH24011800103,payment,499000,INR,captured,order_EH24011800103,inv_EH24011800103,Online electronics order,card,true,null,0,true,customer103@example.com,+919000000102,8982,0,1705581720,card_a9bc0804c55f,American Express,debit,,0.018,0.018,89.82,
pay_EH24010800104,payment,578000,INR,captured,order_EH24010800104,inv_EH24010800104,Online electronics order,card,false,null,0,true,customer104@example.com,+919000000103,10404,0,1704721380,card_686e37e121d9,American Express,debit,,0.018,0.018,104.04,
pay_EH24012400105,payment,746000,INR,captured,order_EH24012400105,inv_EH24012400105,Online electronics order,card,false,null,0,true,customer105@example.com,+919000000104,13428,0,1706107440,card_890247e556d9,RuPay,credit,,0.018,0.018,134.28,
pay_EH24011700106,payment,355000,INR,captured,order_EH24011700106,inv_EH24011700106,Online electronics order,card,false,null,0,true,customer106@example.com,+919000000105,6390,0,1705506300,card_e5c02b712585,RuPay,credit,,0.018,0.018,63.9,
pay_EH24012000107,payment,173000,INR,captured,order_EH24012000107,inv_EH24012000107,Online electronics order,upi,false,null,0,true,customer107@example.com,+919000000106,3114,0,1705769160,,,,,0.018,0.018,31.14,
pay_EH24010100108,payment,750000,INR,captured,order_EH24010100108,inv_EH24010100108,Online electronics order,upi,false,partial,167000,true,customer108@example.com,+919000000107,13500,0,1704131220,,,,,0.018,0.018,135.0,
pay_EH24011400109,payment,659000,INR,captured,order_EH24011400109,inv_EH24011400109,Online electronics order,card,false,null,0,true,customer109@example.com,+919000000108,11862,0,1705258080,card_5d0df6bf98d5,American Express,credit,,0.018,0.018,118.62,
pay_EH24011300110,payment,826000,INR,captured,order_EH24011300110,inv_EH24011300110,Online electronics order,netbanking,false,null,0,true,customer110@example.com,+919000000109,14868,0,1705175340,,,,,0.018,0.018,148.68,
pay_EH24012200111,payment,791000,INR,captured,order_EH24012200111,inv_EH24012200111,Online electronics order,wallet,false,null,0,true,customer111@example.com,+919000000110,14238,0,1705920600,,,,,0.018,0.018,142.38,
pay_EH24011200112,payment,416000,INR,captured,order_EH24011200112,inv_EH24011200112,Online electronics order,upi,false,null,0,true,customer112@example.com,+919000000111,7488,0,1705060260,,,,,0.018,0.018,74.88,
pay_EH24011100113,payment,1011000,INR,captured,order_EH24011100113,inv_EH24011100113,Online electronics order,netbanking,false,null,0,true,customer113@example.com,+919000000112,18198,0,1704977520,,,,,0.018,0.018,181.98,
pay_EH24012800114,payment,568000,INR,captured,order_EH24012800114,inv_EH24012800114,Online electronics order,netbanking,false,null,0,true,customer114@example.com,+919000000113,10224,0,1706449980,,,,,0.018,0.018,102.24,
pay_EH24011500115,payment,282000,INR,captured,order_EH24011500115,inv_EH24011500115,Online electronics order,upi,false,null,0,true,customer115@example.com,+919000000114,5076,0,1705330440,,,,,0.018,0.018,50.76,
pay_EH24011100116,payment,5950000,INR,captured,order_EH24011100116,inv_EH24011100116,Online electronics order,upi,false,partial,1181000,true,customer116@example.com,+919000000115,107100,0,1704988500,,,,,0.018,0.018,1071.0,
pay_EH24010300117,payment,304000,INR,captured,order_EH24010300117,inv_EH24010300117,Online electronics order,card,false,null,0,true,customer117@example.com,+919000000116,5472,0,1704300960,card_1920717a6bad,MasterCard,credit,,0.018,0.018,54.72,
pay_EH24011700118,payment,590000,INR,captured,order_EH24011700118,inv_EH24011700118,Online electronics order,netbanking,false,null,0,true,customer118@example.com,+919000000117,10620,0,1705514220,,,,,0.018,0.018,106.2,
pay_EH24012800119,payment,700000,INR,captured,order_EH24012800119,inv_EH24012800119,Online electronics order,card,false,null,0,true,customer119@example.com,+919000000118,12600,0,1706468280,card_ae5f9871265c,American Express,debit,,0.018,0.018,126.0,
pay_EH24010400120,payment,775000,INR,captured,order_EH24010400120,inv_EH24010400120,Online electronics order,card,false,null,0,true,customer120@example.com,+919000000119,13950,0,1704398340,card_e3ac027b4924,American Express,credit,,0.018,0.018,139.5,
pay_EH24010300121,payment,211000,INR,captured,order_EH24010300121,inv_EH24010300121,Online electronics order,wallet,false,null,0,true,customer121@example.com,+919000000120,3797,0,1704276000,,,,,0.018,0.018,37.98,
pay_EH24012200122,payment,1393000,INR,captured,order_EH24012200122,inv_EH24012200122,Online electronics order,upi,false,null,0,true,customer122@example.com,+919000000121,25074,0,1705921260,,,,,0.018,0.018,250.74,
pay_EH24010100123,payment,537000,INR,captured,order_EH24010100123,inv_EH24010100123,Online electronics order,upi,false,null,0,true,customer123@example.com,+919000000122,9666,0,1704110520,,,,,0.018,0.018,96.66,
pay_EH24010800124,payment,600000,INR,failed,order_EH24010800124,inv_EH24010800124,Online electronics order,upi,false,null,0,false,customer124@example.com,+919000000123,10800,0,1704718980,,,,,0.018,0.018,108.0,
pay_EH24011200125,payment,425000,INR,captured,order_EH24011200125,inv_EH24011200125,Online electronics order,upi,false,null,0,true,customer125@example.com,+919000000124,7650,0,1705068240,,,,,0.018,0.018,76.5,
pay_EH24011700126,payment,596000,INR,captured,order_EH24011700126,inv_EH24011700126,Online electronics order,card,false,null,0,true,customer126@example.com,+919000000125,10728,0,1705503900,card_de261dc6658b,MasterCard,credit,,0.018,0.018,107.28,
pay_EH24012600127,payment,633000,INR,captured,order_EH24012600127,inv_EH24012600127,Online electronics order,card,false,null,0,true,customer127@example.com,+919000000126,11394,0,1706285160,card_3e98db8c6ff9,American Express,debit,,0.018,0.018,113.94,
pay_EH24010800128,payment,263000,INR,captured,order_EH24010800128,inv_EH24010800128,Online electronics order,card,false,null,0,true,customer128@example.com,+919000000127,4734,0,1704733620,card_15eb77594993,MasterCard,debit,,0.018,0.018,47.34,
pay_EH24010300129,payment,859000,INR,captured,order_EH24010300129,inv_EH24010300129,Online electronics order,netbanking,false,null,0,true,customer129@example.com,+919000000128,15462,0,1704305280,,,,,0.018,0.018,154.62,
pay_EH24010800130,payment,7038000,INR,captured,order_EH24010800130,inv_EH24010800130,Online electronics order,emi,true,null,0,true,customer130@example.com,+919000000129,126683,0,1704740940,,,,,0.018,0.018,1266.84,
